Price,Neighborhood,Floor,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Pets Allowed,Furnishing,Rating,ReviewsCount,school,hospital,shopping_mall,supermarket,church,park,gym,restaurant,bank,pharmacy,police,subway_station,train_station,university,transit_station,bus_station,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,Concierge,Jogging Trail,Play Room,Storage Space,occupancy
65000,3,15.0,88.0,2,3,1.0,0.0,1,1,0,1,4.5,13607.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1
30000,14,27.0,55.0,2,1,1.0,0.0,1,1,1,1,4.3070110701107005,66.5,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0
26000,7,28.0,27.0,0,1,1.0,0.0,1,0,0,0,4.4,37.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0
22000,9,15.0,39.2,1,1,0.0,0.0,0,0,0,2,4.0,23.0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
16000,9,31.0,22.0,0,1,1.0,0.0,0,0,0,0,4.0,23.0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0
20000,10,3.0,29.5,2,1,1.0,0.0,0,0,0,0,4.2,85.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1
40000,6,15.0,65.0,2,3,0.0,0.0,0,0,0,0,4.6,8478.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26000,9,15.0,20.87,0,1,0.0,0.0,0,0,0,1,4.5,152.0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1
20000,7,15.0,21.0,0,1,1.0,0.0,0,0,0,0,3.9,87.0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0
25000,8,19.0,36.0,1,1,1.0,0.0,0,0,0,1,4.2,14.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0
43000,7,19.0,49.0,1,1,0.0,0.0,0,0,0,0,4.4,37.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
40000,7,11.0,49.0,1,1,0.0,0.0,1,1,0,0,4.4,37.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
21000,9,10.0,33.0,0,1,0.0,0.0,0,0,0,1,3.8,6.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
25000,0,22.0,42.0,1,1,1.0,0.0,0,0,0,0,2.7,3.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
35000,9,27.0,36.0,1,1,1.0,1.0,1,0,0,0,4.5,152.0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1
150000,8,15.0,500.0,3,4,0.0,0.0,0,0,0,2,4.6,35.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40000,4,47.0,48.5,1,1,1.0,0.0,0,0,0,0,4.1,36.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0
22000,9,15.0,39.2,1,1,0.0,0.0,0,0,0,2,4.0,23.0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
20000,14,15.0,30.08,1,1,0.0,0.0,0,0,0,0,4.1,254.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
28000,9,15.0,39.0,1,1,1.0,0.0,1,0,0,2,4.0,23.0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0
22000,0,14.0,29.0,1,1,1.0,0.0,0,1,0,0,4.7,185.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1
24000,7,15.0,30.36,1,1,1.0,0.0,0,0,0,0,4.3,396.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1
26000,14,35.0,66.5,2,1,1.0,1.0,0,1,0,2,4.8,16.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
38000,7,15.0,47.0,1,1,1.0,0.0,1,0,0,1,4.4,37.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0
18000,2,1.0,23.0,0,1,1.0,0.0,0,1,1,1,4.3,192.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1
26000,8,14.0,36.0,1,1,1.0,1.0,0,0,0,0,4.2,14.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0
38000,8,15.0,63.0,2,2,1.0,1.0,0,1,0,0,4.2,14.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0
16000,15,7.0,43.0,1,1,1.0,1.0,0,1,0,1,3.7,187.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0
220000,8,15.0,450.0,4,4,1.0,1.0,1,1,1,0,4.6,35.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0
18000,9,20.0,26.0,1,1,1.0,0.0,0,1,0,0,4.3070110701107005,66.5,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0
20000,4,28.0,24.6,0,1,1.0,0.0,0,0,1,0,4.4,120.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1
37000,2,8.0,42.3,1,1,1.0,0.0,1,1,0,0,4.3070110701107005,66.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0
20000,7,15.0,20.0,1,1,0.0,0.0,0,0,0,0,5.0,6.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
18000,9,30.0,31.0,1,1,1.0,0.0,0,1,0,1,4.1,83.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1
220000,8,15.0,400.0,3,4,1.0,1.0,1,0,1,1,4.7,19.0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25000,7,15.0,28.0,0,1,0.0,0.0,1,0,1,0,4.4,37.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0
95000,7,12.0,113.0,3,3,1.0,0.0,1,1,0,0,4.3070110701107005,66.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0
12000,10,1.0,18.51,0,1,1.0,0.0,0,0,0,0,4.2,85.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1
15000,9,15.0,25.0,0,1,1.0,0.0,0,0,0,1,4.5,75.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0
16500,9,9.0,22.4,0,1,1.0,0.0,1,0,0,1,4.0,23.0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
11000,8,12.0,22.0,0,1,1.0,0.0,0,0,0,2,4.3070110701107005,66.5,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0
30000,4,17.0,45.0,1,1,1.0,1.0,0,0,0,0,4.3070110701107005,66.5,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
25000,15,2.0,55.0,2,1,1.0,0.0,0,0,0,0,4.4,297.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1
